,0,1,2,3
1,Proteine(%): 20.2,,,
2,Lisina:,1440,7.13,
3,Istidina:,603,2.99,
4,Arginina:,1169,5.79,
5,Acido aspartico:,2413,11.95,
6,Treonina:,801,3.97,
7,Serina:,1200,5.94,
8,Acido glutamico:,3174,15.71,
9,Prolina:,752,3.72,
10,Glicina:,773,3.83,
11,Alanina:,862,4.27,
12,Cistina:,206,1.02,
13,Valina:,1074,5.32,
14,Metionina:,218,1.08,
15,Isoleucina:,1068,5.29,
16,Leucina:,1635,8.09,
17,Tirosina:,651,3.22,
18,Fenilalanina:,1147,5.68,
19,Triptofano:,196,0.97,
20,Indice Chimico:,84,,
21,Aminoacido limitante:,Solf.,,
