0,1
Grassi saturi totali,8.20
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),0.00
C14:0 (miristico),0.00
C16:0 (palmitico),6.50
C18:0 (stearico),1.70
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,69.90
C14:1 (miristoleico),
C16:1 (palmitoleico),0.60
C18:1 (oleico),69.40
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,17.40
C18:2 W6 (linoleico),17.40
C18:3 W3 (linolenico),0.00
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,2.10
