Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","15,4 %"
Vitamina B11,"0,1 mg","29,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","24,2 %"
Vitamina B3,"3,4 mg","21,2 %"
Vitamina B5,"0,9 mg","14,5 %"
Vitamina B6,"0,8 mg","60,4 %"
Vitamina C,"118,4 mg","148,1 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
