Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,4 mg","125,4 %"
Vitamina B11,"< 0,1 mg","8,9 %"
Vitamina B12,"< 0,1 mg","1.481,4 %"
Vitamina B2,"2,4 mg","168,6 %"
Vitamina B3,"38,7 mg","241,7 %"
Vitamina B5,"13,3 mg","222,4 %"
Vitamina B6,"3,6 mg","257,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,9 mg","7,6 %"
Vitamina K,"0,0 mg","0,0 %"
