,0,1,2
1,Parte edibile (%):,64,
2,Acqua (g):,83.2,
3,Proteine (g):,0.8,
4,Lipidi(g):,0.1,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,13,
7,Amido (g):,0,
8,Zuccheri solubili (g):,13,
9,Fibra totale (g):,5,
10,Fibra solubile (g):,0.13,
11,Fibra insolubile (g):,4.87,
12,Alcol (g):,0,
13,Energia (kcal):,53,
14,Energia (kJ):,221,
15,Sodio (mg):,1,
16,Potassio (mg):,190,
17,Ferro (mg):,0.4,
18,Calcio (mg):,30,
19,Fosforo (mg):,25,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.02,
25,Riboflavina (mg):,0.04,
26,Niacina (mg):,0.4,
27,Vitamina A retinolo eq. (µg):,10,
28,Vitamina C (mg):,18,
29,Vitamina E (mg):,,
