Minerali,per porzione,% RDA
Calcio,"18,5 mg","1,8 %"
Rame,"< 0,1 mg","6,3 %"
Ferro,"0,7 mg","4,9 %"
Magnesio,"17,3 mg","5,8 %"
Manganese,"0,4 mg","18,1 %"
Fosforo,"49,0 mg","7,0 %"
Potassio,"60,2 mg","3,0 %"
Selenio,"< 0,1 mg","10,0 %"
Zinco,"0,5 mg","6,6 %"
