,0,1,2,3
1,Proteine(%): 9.5,,,
2,Lisina:,814,8.57,
3,Istidina:,192,2.02,
4,Arginina:,293,3.08,
5,Acido aspartico:,904,9.52,
6,Treonina:,450,4.74,
7,Serina:,428,4.5,
8,Acido glutamico:,1704,17.94,
9,Prolina:,602,6.34,
10,Glicina:,182,1.92,
11,Alanina:,514,5.41,
12,Cistina:,198,2.08,
13,Valina:,575,6.05,
14,Metionina:,202,2.13,
15,Isoleucina:,484,5.09,
16,Leucina:,1021,10.75,
17,Tirosina:,373,3.93,
18,Fenilalanina:,373,3.93,
19,Triptofano:,96,1.01,
20,Indice Chimico:,92,,
21,Aminoacido limitante:,Trip.,,
