Minerali,per porzione,% RDA
Calcio,"6,5 mg","0,6 %"
Rame,"< 0,1 mg","8,1 %"
Ferro,"0,7 mg","4,5 %"
Magnesio,"9,5 mg","3,2 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"125,8 mg","18,0 %"
Potassio,"134,1 mg","6,7 %"
Selenio,"< 0,1 mg","89,6 %"
Zinco,"< 0,1 mg","1,4 %"
