,0,1,2,3
1,Proteine(%): 11.3,,,
2,Lisina:,186,1.65,
3,Istidina:,235,2.08,
4,Arginina:,458,4.05,
5,Acido aspartico:,552,4.88,
6,Treonina:,249,2.2,
7,Serina:,498,4.41,
8,Acido glutamico:,3966,35.1,
9,Prolina:,1239,10.96,
10,Glicina:,426,3.77,
11,Alanina:,359,3.18,
12,Cistina:,260,2.3,
13,Valina:,540,4.78,
14,Metionina:,173,1.53,
15,Isoleucina:,427,3.78,
16,Leucina:,830,7.35,
17,Tirosina:,297,2.63,
18,Fenilalanina:,595,5.27,
19,Triptofano:,112,0.99,
20,Indice Chimico:,28,,
21,Aminoacido limitante:,Lis.,,
