Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Spreadable fats,Animal fats,Milkfat,Butters,Fats,Spreads,Latticini
Grassi,83 g,"+4%79,9 g","+4%79,9 g","+4%79,9 g","+4%79,9 g","-4%86,7 g","+205%27,2 g","+439%15,4 g"
- Acidi Grassi saturi,59 g,"+15%51,3 g","+15%51,3 g","+15%51,3 g","+15%51,3 g",+90%31 g,+392%12 g,"+514%9,61 g"
Carboidrati,0 g,"-100%1,07 g","-100%1,07 g","-100%1,07 g","-100%1,07 g","-100%0,492 g","-100%44,9 g","-100%6,1 g"
- Zuccheri,0 g,"-100%0,708 g","-100%0,708 g","-100%0,708 g","-100%0,708 g","-100%0,327 g","-100%44,3 g","-100%5,42 g"
Fibra alimentare,0 g,?,?,?,?,?,"-100%2,31 g","-100%0,133 g"
Proteine,"0,8 g","-71%2,75 g","-71%2,75 g","-71%2,75 g","-71%2,75 g","-37%1,27 g","-77%3,55 g","-90%7,89 g"
Sale,0 g,"-100%0,097 g","-100%0,097 g","-100%0,097 g","-100%0,097 g","-100%0,048 g","-100%0,172 g","-100%0,405 g"
Sodio,0 g,"-100%0,038 g","-100%0,038 g","-100%0,038 g","-100%0,038 g","-100%0,019 g","-100%0,068 g","-100%0,159 g"
Nutrition score - France,19,"+9%17,5","+9%17,5","+9%17,5","+9%17,5","+35%14,1",+19%16,"+224%5,86"
Nutri-Score,E,D,D,D,D,D,D,C
