Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (100 g (1 portion)),Sauces,Groceries
Grassi,"2,7 g","2,7 g","-90%28,2 g","-87%20,8 g"
- Acidi Grassi saturi,"0,4 g","0,4 g","-89%3,52 g","-87%3,15 g"
Carboidrati,"6,8 g","6,8 g","+12%6,06 g","-50%13,5 g"
- Zuccheri,"6,1 g","6,1 g","+50%4,07 g","-24%8,07 g"
Fibra alimentare,"1,6 g","1,6 g",?,"+78%0,9 g"
Proteine,"1,6 g","1,6 g","-44%2,84 g","-52%3,35 g"
Sale,1 g,1 g,"-39%1,64 g","-90%10,4 g"
Sodio,"0,394 g","0,394 g","-39%0,646 g","-90%4,094 g"
"Fruits, vegetables and nuts (estimate from ingredients list)","86,8 %","86,8 %",?,?
Nutrition score - France,-1,-1,"-109%11,2","-109%11,5"
Nutri-Score,A,A,D,D
