Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","21,5 %"
Vitamina B11,"< 0,1 mg","1,5 %"
Vitamina B12,"< 0,1 mg","240,0 %"
Vitamina B2,"1,0 mg","69,0 %"
Vitamina B3,"4,1 mg","25,6 %"
Vitamina B5,"2,0 mg","33,2 %"
Vitamina B6,"0,2 mg","17,1 %"
Vitamina C,"23,7 mg","29,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
