,0,1,2,3
1,Proteine(%): 20.7,,,
2,Lisina:,1737,8.35,
3,Istidina:,647,3.11,
4,Arginina:,1285,6.18,
5,Acido aspartico:,2080,10,
6,Treonina:,919,4.42,
7,Serina:,852,4.1,
8,Acido glutamico:,3157,15.18,
9,Prolina:,853,4.1,
10,Glicina:,1086,5.22,
11,Alanina:,1289,6.2,
12,Cistina:,239,1.15,
13,Valina:,1243,5.98,
14,Metionina:,541,2.6,
15,Isoleucina:,1080,5.19,
16,Leucina:,1624,7.81,
17,Tirosina:,657,3.16,
18,Fenilalanina:,809,3.89,
19,Triptofano:,183,0.88,
20,Indice Chimico:,80,,
21,Aminoacido limitante:,Trip.,,
