,0,1,2,3
1,Proteine(%): 34.4,,,
2,Lisina:,3046,8.86,
3,Istidina:,1004,2.92,
4,Arginina:,2267,6.59,
5,Acido aspartico:,3400,9.89,
6,Treonina:,1511,4.39,
7,Serina:,,,
8,Acido glutamico:,5585,16.23,
9,Prolina:,1866,5.42,
10,Glicina:,2350,6.83,
11,Alanina:,2326,6.76,
12,Cistina:,354,1.03,
13,Valina:,1535,4.46,
14,Metionina:,909,2.64,
15,Isoleucina:,1653,4.81,
16,Leucina:,2787,8.1,
17,Tirosina:,1216,3.54,
18,Fenilalanina:,1440,4.19,
19,Triptofano:,307,0.89,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Trip.,,
