,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
name,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b6,,0.0,51065308880.00825,45737.60308535642,11.40461549984941,77027.9553328863,4.915703881615721e+21,20751.530353131297,5.7036684603007116e+32,955081.2820074564,2.783425662449221,377.14580013802356,37090.08617160809,176.7069224563259,6.879881877303911,2.250263288184874,3.5446625545428344e+31,1.5350339572619734e+49,2.0358409997991072e+33,3.6698320182379786e+30,115.71983828279727,6.771813477235515e+21,4217697864129383.5,50.64517101450883,1.0221526300108608e+44,1254835458438.4233,2458517729.6720977
total proteins,,51065308880.00825,0.0,1183.988942982405,138819021999.36792,3319.233053968165,708201286.6897652,233.0641387874037,1.3635730540518108e+29,21655.90460169928,76929956313.53268,161121212.37417606,539777140.9079806,250600498.6071746,210127030.51494452,58014755.30796907,8.407382347581455e+27,3.2247931278765265e+49,5.619378424235075e+24,1.475667754521904e+24,662913.5928885562,696729232.246331,8.60340959713065,952543439168.718,2.9241869327279216e+44,486.594272165003,10.902877619724096
total saturated triglycerides,,45737.60308535642,1183.988942982405,0.0,267880.24819076905,2.6356601515977296,113857575658784.98,2.8868836469528807,7.794700724815389e+29,3.9239849353299854,72960.56755358854,355.64679830865293,281.5369533935652,330.6934768759819,987.6478324576294,5660.505941898804,4.633570987554145e+28,1.185102829825551e+48,8.621649599713645e+26,5.028940306035965e+26,58.888325863521054,48527654554375.65,49262.16652445362,1178482.3262306135,1.519866894104237e+42,1119891.9304780958,9544.996221160693
total vitamin b2,,11.40461549984941,138819021999.36792,267880.24819076905,0.0,802899.7027792875,2.429224110616949e+22,108872.68948865935,8.557142814271896e+32,81247170.68958841,2.1931900288058883,58734.95767635067,46342579.98650214,1769.3109682146005,25.908578715039553,9.935946777956595,5.698172980191337e+31,9.297036773663183e+48,5.261397405422021e+33,5.057377413891274e+30,710.3905400944022,1.3453360671736396e+23,2.553382598346313e+16,4.806657079161536,4.562708940295867e+43,9424019095441.324,5903024114.186216
monounsaturated fats,,77027.9553328863,3319.233053968165,2.6356601515977296,802899.7027792875,0.0,151337530616814.84,3.94788646704367,1.3222523404081326e+30,2.9502235574217304,24090.801878679416,221.98389012027002,290.35710359925014,152.55013871024997,542.4735178253187,8372.917298750375,7.186293188913078e+28,1.9998255110771495e+48,1.2640121007213002e+27,7.271765019187265e+26,34.11112556314259,55535585182030.15,115385.42300308422,5271633.188562896,3.263435365374658e+42,1559622.6054559925,14141.489270086111
cholesterol,,4.915703881615721e+21,708201286.6897652,113857575658784.98,2.429224110616949e+22,151337530616814.84,0.0,10870808959586.957,8.467880819744394e+20,3595369098888914.0,3.2803241504560854e+21,1.596105441943425e+19,7.585428869951294e+20,2.0260527586893326e+20,2.4870218276406596e+19,3747620807182877.0,2.8367965266578372e+16,2.124016174372098e+37,696325405135.1724,8527727659.460687,246557889387101.78,2.0895974035876566,1112031.8847419836,8.965897723184402e+23,2.542656159829883e+43,160.32925777314185,65018.55342216837
selenium se,,20751.530353131297,233.0641387874037,2.8868836469528807,108872.68948865935,3.94788646704367,10870808959586.957,0.0,2.4002355751542993e+30,6.865668594363101,24122.82141136497,488.30131477917894,620.1404350759343,437.35480082496184,550.7750845784801,3156.2510227674993,1.677143237140957e+29,2.8622997668444358e+47,3.784705447706925e+26,2.4407153948507038e+26,67.56382694338797,4328713139954.631,4638.419084667436,374598.70260050305,3.458579563641464e+43,292717.8008157525,2286.8210376310535
total sodium na,,5.7036684603007116e+32,1.3635730540518108e+29,7.794700724815389e+29,8.557142814271896e+32,1.3222523404081326e+30,8.467880819744394e+20,2.4002355751542993e+30,0.0,6.414380449272213e+29,1.264076660721322e+33,1.3302830091045951e+31,2.4074692412158825e+33,1.012151598857478e+34,3.820740099420636e+32,9.668448608545165e+22,906.9650257429131,19073674.640598916,10798844.423313227,6020657.135187025,4.9400708180280794e+25,2.216568698130571e+20,2.2885315689034486e+28,6.981531007011087e+34,7895515996783610.0,7.433500896681252e+22,7.341637686046543e+26
total vitamin b3,,955081.2820074564,21655.90460169928,3.9239849353299854,81247170.68958841,2.9502235574217304,3595369098888914.0,6.865668594363101,6.414380449272213e+29,0.0,71900.88106595672,219.45194612122572,137.14939108099225,81.27918825332912,1114.4785065065385,142840.98097266888,4.449541866373283e+28,6.983486130412997e+47,1.2084875228509401e+28,1.7195552156276109e+27,18.202739276035114,1895201884280385.5,8989573.716381408,2132993914.125774,6.664668238031443e+41,9784799.475578392,80114.7847844879
