,name,vitamin b6,total proteins,total saturated triglycerides,total vitamin b2,monounsaturated fats,cholesterol,selenium se,total sodium na,total vitamin b3,total cobalamin,total iron fe,zinc zn,polyunsaturated fats,vitamin e,alpha-linolenic acids,total phosphorus,quantity,vitamin a,B-carotene,linoleic acids,total iodine i,lipids,total vitamin b1,calories,dietary folate,total complex sugars
label,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,2.064367434515233,601559364912.4991,198020.9343937653,14.468108674848606,449071.6312832438,2.081824585864272e+24,106332.46871614903,7.268860745340182e+35,15684826.87517512,3.5173627931760283,2871.2833018581673,501026.08138004504,463.11859515774455,7.8542554829091085,2.151044451035993,3.693617170615933e+34,8.21257490440568e+51,5.997724396260929e+36,4.03333961251515e+33,247.60657959551284,6.917426175216779e+24,5.320677954173481e+17,130.1765131622776,1.8386300965524312e+48,41803086959415.0,27541252604.944107
vitamin b6,,2.168132623707606,279367570602.92737,141162.1812164827,16.0174998226431,382796.4775455821,1.068792411083123e+24,84943.56825716583,3.0079566471320355e+35,16466686.09608338,4.082096297200957,3992.3588190632695,1036854.349263501,413.6328796877019,8.200860372059921,2.0731170519989752,1.975242247359045e+34,4.262527835502805e+51,2.1901767826763173e+36,2.0755844162219713e+33,235.53708947759569,3.721911959699719e+24,1.7106033550141568e+17,280.11190712308445,6.781723055120898e+47,24761190891083.566,14686515736.912971
dietary fiber,,3575020.051447259,1269979.3825266312,11.49312620782171,350768529.48231333,7.382240013933364,9.38616663932663e+18,23.621219118511316,3.493764690467332e+34,3.4001277116678277,138915.1262464975,106.4183435039678,75.79521571080595,40.65199374894507,852.8312928803124,115138.25108424066,1.231247122667488e+33,1.5667880094158588e+52,1.5050615699625217e+33,9.191929862782382e+31,13.58597607919223,6.562779107751449e+18,5220624096.4420805,11899541356.544697,4.591599167449146e+48,374418955.19394374,2180990.7649121797
proteins,,490027122955665.5,3.0144776703129748,17067.753838613484,1.6361405306092454e+16,36448.407023688334,1240752904.2733133,1389.2252460927216,1.4103377615973384e+32,408407.18447833974,224744703389520.62,34530740955.50691,208848968640.64706,70250248974.88095,122331525576.6349,38948407007.20767,2.707362311809444e+30,1.2597304907413e+53,1.684398338735635e+27,1.9117354348506215e+26,12890521.510750765,2124626034.0920355,6.035958290216373,9.405260345407121e+17,9.977341381414349e+49,323.43444566341117,6.687777868290721
total cobalamin,,11.426506978227481,22878122261.478073,7136.066659305085,96.68596177885466,2259.28421028348,1.3901106957388628e+22,4607.72329743135,1.8432304537415666e+36,2199.054606761387,7.86376667596664,5.718469554850091,15.616720884227918,7.766923473032185,2.3517011319529213,14.067727524442422,5.033403348930947e+34,6.814126648509717e+52,1.416609424793575e+35,3.848161155682874e+33,7.40175464226551,4.035441262969335e+21,190680764397067.94,358.87652208612957,3.406469680417461e+49,450455471821.1066,2844815744.8960986
total ascorbic acid,,92.12864728790524,1960.5638027148623,4.153274482881177,168.41140596037172,3.0105498612150527,39630942124219.39,5.361976725101586,2.7596627510559485e+33,2.2982713925334948,122.34580635760682,11.312363755681409,11.512126162034308,10.801228435150708,14.614570428760505,34.907423061163904,1.7127486006221618e+31,3.001282189169055e+48,1.4599047692739406e+28,2.7405122220431004e+27,5.763608175003121,10695819850687.479,30450.218592937217,300.4944730145637,1.7535444048916404e+49,1352873.0317703066,14859.7354880149
carbohydrate,,2275015725727134.0,212.44367754868705,5615344.134788654,1.529970005395505e+16,14596562.513003139,3142.0609909469954,503444.8925420854,4.1738655549955947e+27,182161570.28661206,1358241664975712.5,3638021128265.0723,33490352080698.695,8678382983540.515,6861281203103.92,100989165394.02191,1.0290707655919149e+24,2.1007717340341022e+49,1.902917816380046e+20,2.6497063432947717e+18,845229293.2603333,1626.0510385881405,13.489619683139352,3.531734856210563e+17,1.8152542657664919e+47,3.1720037348114114,6.739790210932651
total aneurine,,42.32129534667198,2053388963981.8677,1476000.492868212,5.021936870132894,3355670.982748823,8.403461300530167e+23,312557.0379270319,8.595733429554878e+34,964201465.3440762,3.2133425605134804,269208.72406286135,2799672757.5449543,9254.335977498873,84.89955665689612,24.074249283484537,4.434361088432442e+33,4.448718661106212e+50,5.4419744252116865e+35,3.239510218917685e+32,2246.9257207613514,2.3493252865349297e+24,3.986359042314994e+17,2.074082086440339,2.0872918949331566e+46,105972667241407.67,37197348082.62028
total vitamin e,,6.7727238198394115,13081739731.989904,5331.54109158381,32.31286066002148,2551.784405148464,8.14699243957381e+22,3367.71492380934,2.264130309356197e+37,4760.210784651021,7.123349837089396,8.338978946792489,45.825746582995976,10.323455349869187,2.326035992313582,6.540221778399946,8.667984368479059e+35,6.207969910357954e+53,4.257786684970306e+36,4.358781435427858e+34,11.140791852741206,3.4675034476117525e+22,376003572715769.1,83.2045320969006,1.1538878852937728e+51,1411457281451.3704,3029187546.273261
