Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (25 cl),Birra,Bevande alcoliche,Bevande
Grassi,0 g,0 g,?,?,"-100%0,527 g"
- Acidi Grassi saturi,0 g,0 g,?,?,"-100%0,118 g"
Carboidrati,"3,94 g","9,85 g",?,?,"-56%9,03 g"
- Zuccheri,"1,08 g","2,7 g",?,?,"-87%8,07 g"
Proteine,0 g,0 g,?,?,"-100%0,745 g"
Sale,0 g,0 g,?,?,"-100%0,136 g"
Sodio,0 g,0 g,?,?,"-100%0,054 g"
Alcol,"4,9 % vol","4,9 % vol","-20%6,1 % vol","-49%9,66 % vol","-42%8,48 % vol"
Standard drink,1 g,"2,5 g",?,?,?
