Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","12,8 %"
Vitamina B11,"< 0,1 mg","17,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","22,4 %"
Vitamina B3,"12,5 mg","77,8 %"
Vitamina B5,"0,7 mg","12,3 %"
Vitamina B6,"0,6 mg","41,1 %"
Vitamina C,"22,7 mg","28,4 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
