Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","20,5 %"
Vitamina B11,"< 0,1 mg","3,1 %"
Vitamina B12,"< 0,1 mg","1.675,8 %"
Vitamina B2,"1,6 mg","115,2 %"
Vitamina B3,"7,9 mg","49,1 %"
Vitamina B5,"11,6 mg","193,6 %"
Vitamina B6,"1,1 mg","77,0 %"
Vitamina C,"14,0 mg","17,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
