Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Fruit juices and nectars,Succo e nettare,Fruit-based beverages,Plant-based beverages,Non-Alcoholic beverages,Bevande,Cibi e bevande a base vegetale
Grassi,0 g,"-100%0,026 g","-100%0,03 g","-100%0,042 g","-100%0,874 g","-100%0,604 g","-100%0,527 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,"-100%0,005 g","-100%0,005 g","-100%0,008 g","-100%0,135 g","-100%0,133 g","-100%0,118 g","-100%2,12 g"
Carboidrati,11 g,"-8%11,9 g",-8%12 g,"-8%11,9 g","+19%9,27 g","+32%8,35 g","+22%9,03 g","-75%43,9 g"
- Zuccheri,"9,5 g","-15%11,2 g","-15%11,2 g","-15%11,2 g","+17%8,14 g","+26%7,52 g","+18%8,07 g","+8%8,81 g"
Fibra alimentare,0 g,"-100%0,752 g","-100%0,755 g","-100%0,748 g","-100%0,597 g","-100%0,4 g","-100%0,46 g","-100%4,06 g"
Proteine,0 g,"-100%0,307 g","-100%0,291 g","-100%0,264 g","-100%0,838 g","-100%0,761 g","-100%0,745 g",-100%7 g
Sale,0 g,"-100%0,007 g","-100%0,007 g","-100%0,006 g","-100%0,05 g","-100%0,177 g","-100%0,136 g","-100%0,533 g"
Sodio,0 g,"-100%0,003 g","-100%0,003 g","-100%0,002 g","-100%0,02 g","-100%0,07 g","-100%0,054 g","-100%0,21 g"
Nutrition score - France,4,"-58%9,42","-59%9,8","-62%10,5","-30%5,75","-37%6,33","-43%6,99","+3%3,87"
Nutri-Score,C,E,E,E,D,D,D,C
