0,1,2
Lisina,999.99,8.60
Istidina,923.00,923.00
Arginina,999.99,6.28
Acido aspartico,999.99,10.07
Treonina,999.99,4.13
Serina,999.99,4.02
Acido glutamico,999.99,16.22
Prolina,999.99,4.33
Glicina,999.99,5.71
Alanina,999.99,6.43
Cistina,317.00,1.04
Valina,999.99,5.51
Metionina,835.00,2.74
Isoleucina,999.99,5.22
Leucina,999.99,8.66
Tirosina,999.99,3.38
Fenilalanina,999.99,3.97
Triptofano,302.00,0.99
Indice chimico,90,
Aminoacido limitante,Trip.,
