Valori nutrizionali,per porzione,% RDA
Valore calorico,443 kcal 1.855 kJ,"22,2 %"
Grassi,"12,0 g","18,5 %"
Grassi saturi,"5,2 g","23,6 %"
Carboidrati,"77,0 g","28,7 %"
Zuccheri,"26,0 g","52,0 %"
Proteine,"6,0 g","8,2 %"
Sale,"0,6 g","10,5 %"
