Minerali,per porzione,% RDA
Calcio,"60,2 mg","6,0 %"
Rame,"< 0,1 mg","4,5 %"
Ferro,"0,6 mg","4,1 %"
Magnesio,"28,0 mg","9,3 %"
Manganese,"0,2 mg","9,2 %"
Fosforo,"74,2 mg","10,6 %"
Potassio,"427,0 mg","21,4 %"
Selenio,"< 0,1 mg","3,3 %"
Zinco,"0,3 mg","4,8 %"
