,0,1
0,Composizione chimica,valore per 100g
1,Lipidi totali,4.20
2,Saturi totali,1.76
3,C12 0,0.02
4,C14 0,0.16
5,C14 1,0.01
6,C15 0,ND
7,C16 0,0.94
8,C16 1,0.08
9,C17 0,ND
10,C17 1,ND
11,C18 0,0.52
12,C18 1,1.42
13,C18 2,0.32
14,C18 3,0.01
15,C20 0,0g
16,C20 1,0g
17,C20 2,ND
18,C20 3,ND
19,C20 4,0.08
20,C20 5,0g
21,C22 0,0g
22,C22 1,0g
23,C22 6,0g
24,C4 0 c10 0,0g
25,Monoinsaturi totali,1.53
26,Nitrati,ND
27,Nitriti,ND
28,Polinsaturi totali,0.43
