,0,1
0,ACCIUGA O ALICE FRESCA,
1,,ACCIUGHE O ALICI SOTTO SALE
2,,ACCIUGHE O ALICI SOTTO OLIO
3,,
4,ANGUILLA D'ALLEVAMENTO FILETTI,
5,,ANGUILLA DI FIUME
6,,ANGUILLA DI MARE
7,,ANGUILLA MARINATA
8,,
9,ARAGOSTA BOLLITA,
10,,ARAGOSTA CRUDA
11,,
12,ARINGA AFFUMICATA,
13,,ARINGA FRESCA
14,,ARINGA MARINATA
15,,ARINGA SOTTO SALE
16,,
17,BORGA,
18,,
19,CALAMARO FRESCO,
20,,CALAMARO SURGELATO
21,CAPITONE,
22,,
23,CARPA,
24,,
25,CEFALO MUGGINE,
26,UOVA DI PESCE O BOTTARGA,
27,,
28,CERNIA,
29,,
30,CORGEONE,
31,,
32,CORVINA,
33,,
34,COZZA O MITILO,
35,,
36,DENTICE FRESCO,
37,,DENTICE SURGELATO
38,GAMBERI FRESCHI,
39,,GAMBERI SGUSCIATI SURGELATI
40,,
41,GRANCHI IN SCATOLA,
42,,
43,HALIBUT,
44,LATTARINI,
45,,
46,LUCCIO,
47,,
48,MELU' O PESCE MOLO,
49,,STOCCAFISSO SECCO
50,,STOCCAFISSO AMMOLLATO
51,,
52,BACCALÀ AMMOLLATO,
53,,BACCALÀ SECCO
54,,BASTONCINI DI PESCE (MERLUZZO)
55,,NASELLO FRESCO
56,,NASELLO SURGELATO
57,,NASELLO SURGELATO COTTO AL FORNO
58,,NASELLO SURGELATO COTTO AL MICROONDE
59,,NASELLO SURGELATO FILETTI
60,,
61,MORMORA,
62,,
63,OCCHIATA,
64,,
65,ORATA DI ALLEVAMENTO,
66,,ORATA FILETTI
67,,ORATA SURGELATA
68,,
69,OSTRICA,
70,,
71,PAGELLO,
72,,PAGELLO BOCCA D'ORO
73,,
74,PALOMBO,
75,,
76,PESCE GATTO,
77,,
78,POLPO,
79,,
80,RAZZA,
81,,
82,ROMBO,
83,salmone-affumicato,
84,,salmone-fresco
85,,salmone-salamoia
86,,
87,SALPA,
88,,
89,SARDA,
90,,
91,SARDINE FRESCHE,
92,,SARDINE FRITTE
93,,
94,SCORFANO,
95,,
96,SEPPIA,
97,,
98,SGOMBRO,
99,,SGOMBRO IN SALAMOIA
100,,
101,SOGLIOLA,
102,,SOGLIOLA SURGELATA
103,,
104,SPIGOLA,
105,,SPIGOLA D'ALLEVAMENTO
106,,
107,STORIONE,
108,,STORIONE UOVA |CAVIALE|
109,,
110,SURO SURGELATO,
111,,
112,TINCA,
113,,
114,TONNO FRESCO,
115,,TONNO IN SALAMOIA
116,,TONNO SOTT'OLIO
117,,
118,TRIGLIA,
119,,
120,TROTA,
121,,TROTA COTTA AL FORNO
122,,TROTA COTTA AL MICOROONDE
123,,TROTA IRIDEA
124,,TROTA SURGELATA CRUDA
125,,
126,VONGOLA,
127,,
