Valori nutrizionali,per porzione,% RDA
Valore calorico,44 kcal 183 kJ,"2,2 %"
Grassi,"0,4 g","0,5 %"
Grassi saturi,"< 0,1 g","0,4 %"
Grassi monoinsaturi,"< 0,1 g","< 0,1 %"
Grassi polinsaturi,"0,2 g","1,2 %"
Carboidrati,"9,9 g","3,7 %"
Zuccheri,"1,9 g","3,9 %"
Proteine,"2,4 g","3,2 %"
Fibre alimentari,"4,0 g","1,3 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"111,5 g","5,6 %"
