,0,1,2,3
1,Proteine(%): 21.7,,,
2,Lisina:,1949,8.98,
3,Istidina:,857,3.95,
4,Arginina:,1315,6.06,
5,Acido aspartico:,2098,9.67,
6,Treonina:,959,4.42,
7,Serina:,855,3.94,
8,Acido glutamico:,3164,14.58,
9,Prolina:,905,4.17,
10,Glicina:,1172,5.4,
11,Alanina:,1385,6.38,
12,Cistina:,243,1.12,
13,Valina:,1261,5.81,
14,Metionina:,538,2.48,
15,Isoleucina:,1131,5.21,
16,Leucina:,1829,8.43,
17,Tirosina:,768,3.54,
18,Fenilalanina:,898,4.14,
19,Triptofano:,204,0.94,
20,Indice Chimico:,85,,
21,Aminoacido limitante:,Trip.,,
