,0,1,2,3
1,Proteine(%): 31.9,,,
2,Lisina:,754,2.29,
3,Istidina:,642,1.95,
4,Arginina:,6229,18.91,
5,Acido aspartico:,2820,8.56,
6,Treonina:,804,2.44,
7,Serina:,1726,5.24,
8,Acido glutamico:,6740,20.46,
9,Prolina:,1716,5.21,
10,Glicina:,1502,4.56,
11,Alanina:,1469,4.46,
12,Cistina:,942,2.86,
13,Valina:,1594,4.84,
14,Metionina:,731,2.22,
15,Isoleucina:,991,3.01,
16,Leucina:,2121,6.44,
17,Tirosina:,1242,3.77,
18,Fenilalanina:,1044,3.17,
19,Triptofano:,300,0.91,
20,Indice Chimico:,39,,
21,Aminoacido limitante:,Lis.,,
