Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"2,0 mg","180,3 %"
Vitamina B11,"0,3 mg","66,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,5 mg","37,8 %"
Vitamina B3,"7,0 mg","43,5 %"
Vitamina B5,"0,4 mg","6,6 %"
Vitamina B6,"0,4 mg","26,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,3 mg","2,7 %"
Vitamina K,"0,0 mg","0,0 %"
