,0,1,2,3
1,Proteine(%): 16.8,,,
2,Lisina:,1379,8.21,
3,Istidina:,675,4.02,
4,Arginina:,758,4.51,
5,Acido aspartico:,1764,10.5,
6,Treonina:,726,4.32,
7,Serina:,650,3.87,
8,Acido glutamico:,2261,13.46,
9,Prolina:,460,2.74,
10,Glicina:,722,4.3,
11,Alanina:,919,5.47,
12,Cistina:,183,1.09,
13,Valina:,759,4.52,
14,Metionina:,349,2.08,
15,Isoleucina:,823,4.9,
16,Leucina:,1330,7.92,
17,Tirosina:,425,2.53,
18,Fenilalanina:,595,3.54,
19,Triptofano:,175,1.04,
20,Indice Chimico:,95,,
21,Aminoacido limitante:,Trip.,,
