,0,1,2,3
1,Proteine(%): 21.5,,,
2,Lisina:,1907,9.29,
3,Istidina:,753,3.67,
4,Arginina:,1372,6.69,
5,Acido aspartico:,2062,10.05,
6,Treonina:,884,4.31,
7,Serina:,847,4.13,
8,Acido glutamico:,3580,17.44,
9,Prolina:,1006,4.9,
10,Glicina:,1307,6.37,
11,Alanina:,1350,6.58,
12,Cistina:,243,1.19,
13,Valina:,1013,4.94,
14,Metionina:,591,2.88,
15,Isoleucina:,925,4.51,
16,Leucina:,1769,8.62,
17,Tirosina:,703,3.43,
18,Fenilalanina:,845,4.12,
19,Triptofano:,196,0.95,
20,Indice Chimico:,84,,
21,Aminoacido limitante:,Trip.,,
