,0,1,2,3
1,Proteine(%): 18.7,,,
2,Lisina:,1200,6.42,
3,Istidina:,460,2.46,
4,Arginina:,550,2.94,
5,Acido aspartico:,1150,6.15,
6,Treonina:,540,2.89,
7,Serina:,900,4.81,
8,Acido glutamico:,3000,16.04,
9,Prolina:,1650,8.82,
10,Glicina:,330,1.76,
11,Alanina:,530,2.83,
12,Cistina:,140,0.75,
13,Valina:,630,3.37,
14,Metionina:,570,3.05,
15,Isoleucina:,480,2.57,
16,Leucina:,1400,7.49,
17,Tirosina:,880,4.71,
18,Fenilalanina:,820,4.39,
19,Triptofano:,180,0.96,
20,Indice Chimico:,85,,
21,Aminoacido limitante:,Treo.,,
