Minerali,per porzione,% RDA
Calcio,"46,8 mg","4,7 %"
Rame,"0,4 mg","38,1 %"
Ferro,"2,5 mg","16,9 %"
Magnesio,"105,0 mg","35,0 %"
Manganese,"2,4 mg","121,6 %"
Fosforo,"273,6 mg","39,1 %"
Potassio,"324,0 mg","16,2 %"
Selenio,"< 0,1 mg","55,6 %"
Zinco,"2,4 mg","34,5 %"
