,0,1,2
1,Parte edibile (%):,73,
2,Acqua (g):,82.8,
3,Proteine (g):,1,
4,Lipidi(g):,0.2,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,12.6,
7,Amido (g):,tr,
8,Zuccheri solubili (g):,12.6,
9,Fibra totale (g):,1.6,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,53,
14,Energia (kJ):,222,
15,Sodio (mg):,1,
16,Potassio (mg):,250,
17,Ferro (mg):,0.5,
18,Calcio (mg):,7,
19,Fosforo (mg):,11,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.02,
25,Riboflavina (mg):,0.04,
26,Niacina (mg):,0.6,
27,Vitamina A retinolo eq. (µg):,533,
28,Vitamina C (mg):,28,
29,Vitamina E (mg):,,
