,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,39%,-
2,Acqua,"3,50g",-
3,Carboidrati disponibili,"5,10g",-
4,Carboidrati complessi,"1,80g",-
5,Zuccheri solubili,"3,10g",-
6,Proteine,"14,30g",-
7,Grassi (Lipidi),"68,10g",-
8,Saturi totali,"5,57g",-
9,Monoinsaturi totali,"9,54g",-
10,Polinsaturi totali,"40,66g",-
11,Colesterolo,0,-
12,Fibra totale,"6,20g",-
13,Fibra solubile,"0,84g",-
14,Fibra insolubile,"5,37g",-
15,Alcol (g),0,-
16,Sodio,2mg,0.13% RDA
17,Potassio,368mg,7.83% RDA
18,Ferro,"2,10mg",26.25% RDA
19,Calcio,83mg,8.30% RDA
20,Fosforo,380mg,54.29% RDA
21,Magnesio,131mg,31.19% RDA
22,Zinco,"2,70mg",24.55% RDA
23,Rame,"1,50mg",100% RDA
24,Selenio,"3,10µg",5.64% RDA
25,Tiamina (Vit. B1),"0,45mg",37.50% RDA
26,Riboflavina (Vit. B2),"0,10mg",7.69% RDA
27,Niacina (Vit. B3 o PP),"1,90mg",11.88% RDA
28,Vitamina A retinolo eq.,8µg,0.89% RDA
29,Vitamina C,Tracce,0% RDA
30,Vitamina E,3mg,20% RDA
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
