Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mueslis with fruits,Mixed cereal flakes,Mueslis,Flakes,Cereal flakes,Breakfast cereals,Breakfasts,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"7,3 g","-37%11,5 g","-47%13,8 g","-47%13,8 g","-40%12,1 g","-40%12,1 g","-35%11,3 g","-40%12,1 g","+37%5,31 g","+17%6,24 g","-32%10,7 g","-24%9,61 g"
- Acidi Grassi saturi,1 g,"-71%3,43 g","-74%3,83 g","-74%3,83 g","-70%3,32 g","-70%3,32 g","-71%3,47 g","-71%3,43 g","-31%1,44 g","-41%1,7 g","-58%2,36 g","-53%2,12 g"
Carboidrati,58 g,"-7%62,3 g","-5%61,2 g","-5%61,2 g","-7%62,7 g","-7%62,7 g","-10%64,5 g","-4%60,7 g","-4%60,4 g","-3%59,9 g","+22%47,6 g","+32%43,9 g"
- Zuccheri,11 g,"-48%21,1 g","-47%20,7 g","-47%20,7 g",-39%18 g,-39%18 g,"-42%19,1 g",-74%42 g,"+44%7,65 g","+66%6,61 g","+28%8,59 g","+25%8,81 g"
Fibra alimentare,11 g,?,"+42%7,76 g","+42%7,76 g","+48%7,45 g","+48%7,45 g","+50%7,34 g","+106%5,35 g","+131%4,77 g","+132%4,75 g","+151%4,38 g","+171%4,06 g"
Proteine,11 g,"+26%8,76 g","+19%9,21 g","+19%9,21 g","+18%9,31 g","+18%9,31 g","+19%9,21 g","+101%5,47 g","+12%9,84 g","+16%9,48 g","+42%7,76 g",+57%7 g
Sale,"0,03 g","-87%0,231 g","-89%0,277 g","-89%0,277 g","-92%0,358 g","-92%0,358 g","-94%0,502 g","-90%0,292 g","-90%0,307 g","-96%0,729 g","-95%0,593 g","-94%0,533 g"
Sodio,"0,012 g","-87%0,091 g","-89%0,109 g","-89%0,109 g","-92%0,141 g","-92%0,141 g","-94%0,198 g","-90%0,115 g","-90%0,121 g","-96%0,287 g","-95%0,233 g","-94%0,21 g"
Nutrition score - France,-4,"-169%5,82","-153%7,5","-153%7,5","-161%6,54","-161%6,54","-153%7,61","-134%11,9","-556%0,877","-231%3,06","-230%3,08","-203%3,87"
Nutri-Score,A,C,C,C,C,C,C,D,B,C,C,C
