,0,1,2,3
1,Proteine(%): 21.1,,,
2,Lisina:,1369,6.5,
3,Istidina:,440,2.09,
4,Arginina:,1462,6.94,
5,Acido aspartico:,1956,9.29,
6,Treonina:,714,3.39,
7,Serina:,840,3.99,
8,Acido glutamico:,2881,13.68,
9,Prolina:,1693,8.04,
10,Glicina:,2759,13.1,
11,Alanina:,1784,8.47,
12,Cistina:,166,0.79,
13,Valina:,956,4.54,
14,Metionina:,345,1.64,
15,Isoleucina:,752,3.57,
16,Leucina:,1348,6.4,
17,Tirosina:,514,2.44,
18,Fenilalanina:,722,3.43,
19,Triptofano:,138,0.65,
20,Indice Chimico:,59,,
21,Aminoacido limitante:,Trip.,,
