,0,1,2,3
1,Proteine(%): 26.5,,,
2,Lisina:,2350,8.8,
3,Istidina:,1087,4.07,
4,Arginina:,1813,6.79,
5,Acido aspartico:,2526,9.46,
6,Treonina:,1319,4.94,
7,Serina:,1191,4.46,
8,Acido glutamico:,3765,14.1,
9,Prolina:,1242,4.65,
10,Glicina:,1474,4.52,
11,Alanina:,1645,6.16,
12,Cistina:,336,1.26,
13,Valina:,1410,5.28,
14,Metionina:,774,2.9,
15,Isoleucina:,1287,4.82,
16,Leucina:,2195,8.22,
17,Tirosina:,961,3.6,
18,Fenilalanina:,1145,4.29,
19,Triptofano:,264,0.99,
20,Indice Chimico:,90,,
21,Aminoacido limitante:,Trip.,,
