Valori nutrizionali,per porzione,% RDA
Valore calorico,180 kcal 754 kJ,"9,0 %"
Grassi,"1,7 g","2,6 %"
Carboidrati,"2,5 g","0,9 %"
Proteine,"38,0 g","52,1 %"
