Minerali,per porzione,% RDA
Calcio,"280,0 mg","28,0 %"
Rame,"0,2 mg","16,3 %"
Ferro,"0,6 mg","4,0 %"
Magnesio,"32,5 mg","10,8 %"
Manganese,"0,2 mg","9,6 %"
Fosforo,"252,5 mg","36,1 %"
Potassio,"417,5 mg","20,9 %"
Selenio,"< 0,1 mg","15,8 %"
Zinco,"1,0 mg","14,6 %"
