Valori nutrizionali,per porzione,% RDA
Valore calorico,30 kcal 127 kJ,"1,5 %"
Grassi,"0,2 g","0,3 %"
Grassi saturi,"< 0,1 g","< 0,1 %"
Grassi monoinsaturi,"< 0,1 g","0,3 %"
Grassi polinsaturi,"< 0,1 g","0,2 %"
Carboidrati,"7,5 g","2,8 %"
Zuccheri,"6,5 g","13,1 %"
Proteine,"0,5 g","0,6 %"
Fibre alimentari,"0,9 g","0,3 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,0 g","0,0 %"
Acqua,"57,6 g","2,9 %"
