,0,1,2,3
1,Proteine(%): 2.9,,,
2,Lisina:,175,6.03,
3,Istidina:,81,2.81,
4,Arginina:,154,5.32,
5,Acido aspartico:,556,19.17,
6,Treonina:,109,3.76,
7,Serina:,123,4.24,
8,Acido glutamico:,521,17.97,
9,Prolina:,98,3.39,
10,Glicina:,136,4.7,
11,Alanina:,133,4.58,
12,Cistina:,73,2.53,
13,Valina:,144,4.97,
14,Metionina:,35,1.19,
15,Isoleucina:,108,3.73,
16,Leucina:,171,5.91,
17,Tirosina:,93,3.19,
18,Fenilalanina:,126,4.36,
19,Triptofano:,26,0.91,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Trip.,,
