Minerali,per porzione,% RDA
Calcio,"32,0 mg","3,2 %"
Rame,"0,2 mg","15,4 %"
Ferro,"2,3 mg","15,3 %"
Magnesio,"23,0 mg","7,7 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"199,0 mg","28,4 %"
Potassio,"280,0 mg","14,0 %"
Selenio,"< 0,1 mg","127,7 %"
Zinco,"4,3 mg","61,0 %"
