Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","9,5 %"
Vitamina B11,"0,1 mg","31,9 %"
Vitamina B12,"< 0,1 mg","147,8 %"
Vitamina B2,"0,4 mg","29,6 %"
Vitamina B3,"2,4 mg","15,3 %"
Vitamina B5,"1,0 mg","16,2 %"
Vitamina B6,"1,2 mg","84,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"4,5 mg","37,5 %"
Vitamina K,"0,0 mg","0,0 %"
