,0,1,2,3
1,Proteine(%): 6.9,,,
2,Lisina:,484,7.05,
3,Istidina:,178,2.6,
4,Arginina:,544,7.93,
5,Acido aspartico:,820,11.95,
6,Treonina:,270,3.94,
7,Serina:,382,5.57,
8,Acido glutamico:,1168,17.02,
9,Prolina:,272,3.96,
10,Glicina:,281,4.1,
11,Alanina:,291,4.24,
12,Cistina:,69,1,
13,Valina:,351,5.12,
14,Metionina:,60,0.87,
15,Isoleucina:,318,4.64,
16,Leucina:,523,7.63,
17,Tirosina:,217,3.16,
18,Fenilalanina:,359,5.23,
19,Triptofano:,58,0.85,
20,Indice Chimico:,75,,
21,Aminoacido limitante:,Solf.,,
