,0,1,2,3
1,Proteine(%): 6.7,,,
2,Lisina:,443,6.61,
3,Istidina:,168,2.51,
4,Arginina:,589,8.79,
5,Acido aspartico:,769,11.48,
6,Treonina:,241,3.6,
7,Serina:,342,5.1,
8,Acido glutamico:,1057,15.78,
9,Prolina:,276,4.12,
10,Glicina:,251,3.75,
11,Alanina:,283,4.22,
12,Cistina:,70,1.05,
13,Valina:,308,4.6,
14,Metionina:,69,1.03,
15,Isoleucina:,293,4.37,
16,Leucina:,535,7.99,
17,Tirosina:,201,3,
18,Fenilalanina:,406,6.06,
19,Triptofano:,68,1.02,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Solf.,,
