Valori nutrizionali,per porzione,% RDA
Valore calorico,260 kcal 1.089 kJ,"13,0 %"
Grassi,"10,5 g","16,1 %"
Grassi saturi,"4,8 g","22,0 %"
Grassi monoinsaturi,"2,8 g","9,7 %"
Grassi polinsaturi,"1,8 g","11,8 %"
Carboidrati,"30,0 g","11,2 %"
Zuccheri,"3,2 g","6,5 %"
Proteine,"11,5 g","15,7 %"
Fibre alimentari,"1,7 g","0,6 %"
Colesterolo,"23,0 mg","76,8 %"
Sodio,"0,7 g","0,1 %"
Acqua,"41,6 g","2,1 %"
