Valori nutrizionali,per porzione,% RDA
Valore calorico,310 kcal 1.296 kJ,"15,5 %"
Grassi,"14,4 g","22,2 %"
Grassi saturi,"8,3 g","37,9 %"
Grassi monoinsaturi,"3,4 g","11,6 %"
Grassi polinsaturi,"2,0 g","13,4 %"
Carboidrati,"39,4 g","14,7 %"
Zuccheri,"2,7 g","5,3 %"
Proteine,"5,5 g","7,6 %"
Fibre alimentari,"1,8 g","0,6 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,9 g","0,2 %"
Acqua,"27,6 g","1,4 %"
