Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (100Ml),Nettare di frutta,Fruit juices and nectars,Succo e nettare,Fruit-based beverages,Plant-based beverages,Non-Alcoholic beverages,Bevande,Cibi e bevande a base vegetale
Grassi,"0,1 g","0,1 g","+120%0,046 g","+280%0,026 g","+233%0,03 g","+140%0,042 g","-89%0,874 g","-83%0,604 g","-81%0,527 g","-99%9,61 g"
- Acidi Grassi saturi,0 g,0 g,"-100%0,009 g","-100%0,005 g","-100%0,005 g","-100%0,008 g","-100%0,135 g","-100%0,133 g","-100%0,118 g","-100%2,12 g"
Carboidrati,"13,4 g","13,4 g","+2%13,1 g","+13%11,9 g",+12%12 g,"+13%11,9 g","+45%9,27 g","+60%8,35 g","+48%9,03 g","-69%43,9 g"
- Zuccheri,"10,9 g","10,9 g","-10%12,1 g","-3%11,2 g","-3%11,2 g","-3%11,2 g","+34%8,14 g","+45%7,52 g","+35%8,07 g","+24%8,81 g"
Proteine,"0,1 g","0,1 g","-48%0,194 g","-67%0,307 g","-66%0,291 g","-62%0,264 g","-88%0,838 g","-87%0,761 g","-87%0,745 g",-99%7 g
Sale,0 g,0 g,"-100%0,012 g","-100%0,007 g","-100%0,007 g","-100%0,006 g","-100%0,05 g","-100%0,177 g","-100%0,136 g","-100%0,533 g"
Sodio,0 g,0 g,"-100%0,005 g","-100%0,003 g","-100%0,003 g","-100%0,002 g","-100%0,02 g","-100%0,07 g","-100%0,054 g","-100%0,21 g"
"Fruits, vegetables and nuts (minimum)",40 %,40 %,"-15%46,8 %","-15%46,8 %","-15%46,8 %","-15%47,1 %","-15%47,1 %","-15%47,1 %","-15%47,1 %","-8%43,5 %"
Nutrition score - France,16,16,"+17%13,7","+70%9,42","+63%9,8","+52%10,5","+178%5,75","+153%6,33","+129%6,99","+313%3,87"
Nutri-Score,E,E,E,E,E,E,D,D,D,C
