Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,5 g
- Acidi Grassi saturi,"3,6 g"
Carboidrati,"3,8 g"
- Zuccheri,"3,8 g"
Proteine,9 g
Sale,"0,1 g"
Sodio,"0,039 g"
Calcio,121 mg
Nutrition score - France,-1
Nutri-Score,A
