Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (7 g),Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"1,7 g","0,119 g","-79%8,05 g","-73%6,24 g","-84%10,7 g","-82%9,61 g"
- Acidi Grassi saturi,"0,3 g","0,021 g","-86%2,2 g","-82%1,7 g","-87%2,36 g","-86%2,12 g"
Carboidrati,84 g,"5,88 g","+43%58,6 g","+40%59,9 g","+76%47,6 g","+91%43,9 g"
- Zuccheri,6 g,"0,42 g","+85%3,25 g","-9%6,61 g","-30%8,59 g","-32%8,81 g"
Fibra alimentare,"2,3 g","0,161 g","-50%4,64 g","-52%4,75 g","-47%4,38 g","-43%4,06 g"
Proteine,6 g,"0,42 g","-33%9,02 g","-37%9,48 g","-23%7,76 g",-14%7 g
Sale,"1,4 g","0,098 g","-20%1,74 g","+92%0,729 g","+136%0,593 g","+163%0,533 g"
Sodio,"0,551 g","0,039 g","-20%0,685 g","+92%0,287 g","+136%0,233 g","+163%0,21 g"
Nutrition score - France,9,9,"+14%7,89","+194%3,06","+192%3,08","+133%3,87"
Nutri-Score,C,C,C,C,C,C
