,0,1,2,3
1,Proteine(%): 8.6,,,
2,Lisina:,166,1.93,
3,Istidina:,160,1.86,
4,Arginina:,260,3.02,
5,Acido aspartico:,332,3.86,
6,Treonina:,224,2.6,
7,Serina:,417,4.85,
8,Acido glutamico:,3230,37.56,
9,Prolina:,1045,12.15,
10,Glicina:,297,3.45,
11,Alanina:,257,2.99,
12,Cistina:,226,2.63,
13,Valina:,375,4.36,
14,Metionina:,119,1.38,
15,Isoleucina:,337,3.92,
16,Leucina:,621,7.22,
17,Tirosina:,170,1.98,
18,Fenilalanina:,418,4.86,
19,Triptofano:,62,0.72,
20,Indice Chimico:,33,,
21,Aminoacido limitante:,Lis.,,
