Valori nutrizionali,per porzione,% RDA
Valore calorico,20 kcal 86 kJ,"1,0 %"
Grassi,"0,4 g","0,6 %"
Grassi saturi,"< 0,1 g","0,2 %"
Grassi monoinsaturi,"< 0,1 g","0,1 %"
Grassi polinsaturi,"0,3 g","1,9 %"
Carboidrati,"3,4 g","1,3 %"
Zuccheri,"0,4 g","0,8 %"
Proteine,"2,1 g","2,8 %"
Fibre alimentari,"1,8 g","0,6 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"59,1 g","3,0 %"
