,Composizione,mg/100g di parte edibile
0,Lisina:,2441
1,Istidina:,882
2,Arginina:,1477
3,Acido aspartico:,2348
4,Treonina:,1072
5,Serina:,1095
6,Acido glutamico:,3285
7,Prolina:,919
8,Glicina:,1128
9,Alanina:,1440
10,Cistina:,264
11,Valina:,1392
12,Metionina:,881
13,Isoleucina:,1198
14,Leucina:,2029
15,Tirosina:,934
16,Fenilalanina:,1007
17,Triptofano:,280
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
