,Composizione,g/100g di parte edibile
0,Saturi totali (%):,2.23
1,C4:0÷C10:0,0
2,C12:0,0.01
3,C14:0,0.07
4,C16:0,1.41
5,C18:0,0.73
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.38
9,C14:1,0
10,C16:1,0.1
11,C18:1,2.1
12,C20:1,0.18
13,C22:1,0
14,Polinsaturi totali (%):,1.82
15,C18:2,1.68
16,C18:3,0
17,C20:4,0.03
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.8
