,Composizione chimica,valore per 100g
0,Parte edibile (%):,83
1,Acqua (g):,90.1
2,Proteine (g):,3.4
3,Lipidi(g):,0.7
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,2.9
6,Amido (g):,2.3
7,Zuccheri solubili (g):,0.4
8,Fibra totale (g):,1.9
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,31
13,Energia (kJ):,129
14,Sodio (mg):,100
15,Potassio (mg):,530
16,Ferro (mg):,2.9
17,Calcio (mg):,78
18,Fosforo (mg):,62
19,Magnesio (mg):,60
20,Zinco (mg):,1.43
21,Rame (mg):,0.16
22,Selenio (µg):,1
23,Tiamina (mg):,0.07
24,Riboflavina (mg):,0.37
25,Niacina (mg):,0.4
26,Vitamina A retinolo eq. (µg):,485
27,Vitamina C (mg):,54
28,Vitamina E (mg):,
