,Composizione,mg/100g di parte edibile
0,Lisina:,459
1,Istidina:,371
2,Arginina:,735
3,Acido aspartico:,897
4,Treonina:,451
5,Serina:,676
6,Acido glutamico:,4332
7,Prolina:,1430
8,Glicina:,633
9,Alanina:,598
10,Cistina:,411
11,Valina:,797
12,Metionina:,304
13,Isoleucina:,607
14,Leucina:,1111
15,Tirosina:,423
16,Fenilalanina:,755
17,Triptofano:,198
18,Indice Chimico:,52
19,Aminoacido limitante:,Lis.
