,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,66.9
2,Proteine (g):,30.7
3,Lipidi(g):,2.5
4,Colesterolo (mg):,39
5,Carboidrati disponibili (g):,0.2
6,Amido (g):,0.2
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,146
13,Energia (kJ):,611
14,Sodio (mg):,70
15,Potassio (mg):,330
16,Ferro (mg):,0.8
17,Calcio (mg):,11
18,Fosforo (mg):,210
19,Magnesio (mg):,10
20,Zinco (mg):,0.7
21,Rame (mg):,0.1
22,Selenio (µg):,
23,Tiamina (mg):,0.2
24,Riboflavina (mg):,0.16
25,Niacina (mg):,11
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
