,Composizione chimica,valore per 100g
0,Parte edibile (%):,94
1,Acqua (g):,90.5
2,Proteine (g):,0.9
3,Lipidi(g):,0.4
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,5.3
6,Amido (g):,0
7,Zuccheri solubili (g):,5.3
8,Fibra totale (g):,1.6
9,Fibra solubile (g):,0.45
10,Fibra insolubile (g):,1.13
11,Alcol (g):,0
12,Energia (kcal):,27
13,Energia (kJ):,113
14,Sodio (mg):,2
15,Potassio (mg):,160
16,Ferro (mg):,0.8
17,Calcio (mg):,35
18,Fosforo (mg):,28
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.02
24,Riboflavina (mg):,0.04
25,Niacina (mg):,0.5
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,54
28,Vitamina E (mg):,
