,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,53.5
2,Proteine (g):,15.8
3,Lipidi(g):,29.1
4,Colesterolo (mg):,1337
5,Carboidrati disponibili (g):,tr
6,Amido (g):,0
7,Zuccheri solubili (g):,tr
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,325
13,Energia (kJ):,1360
14,Sodio (mg):,43
15,Potassio (mg):,90
16,Ferro (mg):,4.9
17,Calcio (mg):,116
18,Fosforo (mg):,586
19,Magnesio (mg):,14
20,Zinco (mg):,2.14
21,Rame (mg):,0.16
22,Selenio (µg):,9.6
23,Tiamina (mg):,0.27
24,Riboflavina (mg):,0.35
25,Niacina (mg):,0.1
26,Vitamina A retinolo eq. (µg):,640
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
