,Composizione chimica,valore per 100g
0,Parte edibile (%):,31
1,Acqua (g):,79.4
2,Proteine (g):,5.5
3,Lipidi(g):,0.6
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,6.5
6,Amido (g):,2.3
7,Zuccheri solubili (g):,4
8,Fibra totale (g):,6.3
9,Fibra solubile (g):,0.45
10,Fibra insolubile (g):,5.8
11,Alcol (g):,0
12,Energia (kcal):,52
13,Energia (kJ):,217
14,Sodio (mg):,1
15,Potassio (mg):,193
16,Ferro (mg):,1.7
17,Calcio (mg):,45
18,Fosforo (mg):,97
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.2
24,Riboflavina (mg):,0.08
25,Niacina (mg):,2.6
26,Vitamina A retinolo eq. (µg):,64
27,Vitamina C (mg):,32
28,Vitamina E (mg):,
