,Composizione,mg/100g di parte edibile
0,Lisina:,247
1,Istidina:,86
2,Arginina:,217
3,Acido aspartico:,338
4,Treonina:,181
5,Serina:,162
6,Acido glutamico:,399
7,Prolina:,164
8,Glicina:,176
9,Alanina:,215
10,Cistina:,55
11,Valina:,207
12,Metionina:,72
13,Isoleucina:,165
14,Leucina:,323
15,Tirosina:,170
16,Fenilalanina:,207
17,Triptofano:,53
18,Indice Chimico:,100
19,Aminoacido limitante:,Lis.
