,Composizione,mg/100g di parte edibile
0,Lisina:,405
1,Istidina:,157
2,Arginina:,333
3,Acido aspartico:,737
4,Treonina:,238
5,Serina:,351
6,Acido glutamico:,928
7,Prolina:,252
8,Glicina:,219
9,Alanina:,243
10,Cistina:,64
11,Valina:,348
12,Metionina:,69
13,Isoleucina:,307
14,Leucina:,494
15,Tirosina:,193
16,Fenilalanina:,341
17,Triptofano:,61
18,Indice Chimico:,93
19,Aminoacido limitante:,Solf.
