,Composizione,g/100g di parte edibile
0,Saturi totali (%):,6.93
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0
4,C16:0,5.18
5,C18:0,0.21
6,C20:0,0.07
7,C22:0,0
8,Monoinsaturi totali (%):,14.14
9,C14:1,0
10,C16:1,0.14
11,C18:1,13.72
12,C20:1,0.14
13,C22:1,0.14
14,Polinsaturi totali (%):,46.06
15,C18:2,40.88
16,C18:3,5.18
17,C20:4,0
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,6.6
